ano,mes_numero,mes_nome,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2024,9,Setembro,SP,Sudeste,428,91,19,77,458,0.212617
2024,9,Setembro,TO,Norte,70,24,11,17,80,0.342857
2024,10,Outubro,AC,Norte,29,9,5,5,36,0.310345
2024,10,Outubro,AL,Nordeste,52,29,4,34,75,0.557692
2024,10,Outubro,AM,Norte,20,5,1,11,37,0.25
2024,10,Outubro,AP,Norte,18,5,0,6,29,0.277778
2024,10,Outubro,BA,Nordeste,362,117,43,101,493,0.323204
2024,10,Outubro,CE,Nordeste,139,48,12,46,167,0.345324
2024,10,Outubro,DF,Centro-Oeste,86,12,0,18,93,0.139535
2024,10,Outubro,ES,Sudeste,174,49,7,48,225,0.281609
2024,10,Outubro,GO,Centro-Oeste,302,91,28,81,349,0.301325
2024,10,Outubro,MA,Nordeste,101,54,20,59,145,0.534653
2024,10,Outubro,MG,Sudeste,867,246,67,254,1163,0.283737
2024,10,Outubro,MS,Centro-Oeste,134,44,19,37,141,0.328358
2024,10,Outubro,MT,Centro-Oeste,223,52,17,46,260,0.233184
2024,10,Outubro,PA,Norte,107,43,16,47,149,0.401869
2024,10,Outubro,PB,Nordeste,176,52,5,58,219,0.295455
2024,10,Outubro,PE,Nordeste,265,114,22,115,308,0.430189
2024,10,Outubro,PI,Nordeste,140,55,17,58,186,0.392857
2024,10,Outubro,PR,Sul,643,167,66,158,800,0.25972
2024,10,Outubro,RJ,Sudeste,583,126,29,132,717,0.216123
2024,10,Outubro,RN,Nordeste,136,34,7,38,187,0.25
2024,10,Outubro,RO,Norte,132,46,11,48,174,0.348485
2024,10,Outubro,RR,Norte,15,10,4,12,31,0.666667
2024,10,Outubro,RS,Sul,457,100,29,94,525,0.218818
2024,10,Outubro,SC,Sul,695,156,32,172,842,0.22446
2024,10,Outubro,SE,Nordeste,64,27,5,33,82,0.421875
2024,10,Outubro,SP,Sudeste,431,69,16,86,515,0.160093
2024,10,Outubro,TO,Norte,55,14,11,9,66,0.254545
2024,11,Novembro,AC,Norte,28,10,0,11,40,0.357143
2024,11,Novembro,AL,Nordeste,78,32,10,30,91,0.410256
2024,11,Novembro,AM,Norte,7,3,2,1,8,0.428571
2024,11,Novembro,AP,Norte,11,3,0,3,6,0.272727
2024,11,Novembro,BA,Nordeste,309,109,39,102,415,0.352751
2024,11,Novembro,CE,Nordeste,125,55,16,61,188,0.44
2024,11,Novembro,DF,Centro-Oeste,84,18,4,17,89,0.214286
2024,11,Novembro,ES,Sudeste,196,53,14,52,261,0.270408
2024,11,Novembro,GO,Centro-Oeste,225,55,17,63,268,0.244444
2024,11,Novembro,MA,Nordeste,93,51,27,36,120,0.548387
2024,11,Novembro,MG,Sudeste,766,206,65,204,989,0.26893
2024,11,Novembro,MS,Centro-Oeste,149,40,17,34,184,0.268456
2024,11,Novembro,MT,Centro-Oeste,204,56,20,56,251,0.27451
2024,11,Novembro,PA,Norte,85,43,23,37,111,0.505882
2024,11,Novembro,PB,Nordeste,174,62,17,65,228,0.356322
2024,11,Novembro,PE,Nordeste,249,91,30,87,279,0.365462
2024,11,Novembro,PI,Nordeste,149,81,26,72,177,0.543624
2024,11,Novembro,PR,Sul,671,167,45,165,793,0.248882
2024,11,Novembro,RJ,Sudeste,555,105,23,105,675,0.189189
2024,11,Novembro,RN,Nordeste,148,54,12,57,209,0.364865
2024,11,Novembro,RO,Norte,117,38,6,43,150,0.324786
2024,11,Novembro,RR,Norte,14,3,0,4,27,0.214286
2024,11,Novembro,RS,Sul,431,95,22,101,521,0.220418
2024,11,Novembro,SC,Sul,731,171,32,160,873,0.233926
2024,11,Novembro,SE,Nordeste,48,21,8,17,54,0.4375
2024,11,Novembro,SP,Sudeste,438,78,22,74,534,0.178082
2024,11,Novembro,TO,Norte,50,24,13,52,120,0.48
2024,12,Dezembro,AC,Norte,18,6,1,6,19,0.333333
2024,12,Dezembro,AL,Nordeste,54,24,8,19,69,0.444444
2024,12,Dezembro,AM,Norte,11,3,0,4,12,0.272727
2024,12,Dezembro,AP,Norte,19,6,2,8,26,0.315789
2024,12,Dezembro,BA,Nordeste,388,148,56,171,698,0.381443
2024,12,Dezembro,CE,Nordeste,145,60,16,58,181,0.413793
2024,12,Dezembro,DF,Centro-Oeste,77,12,3,10,94,0.155844
2024,12,Dezembro,ES,Sudeste,230,72,16,73,293,0.313043
2024,12,Dezembro,GO,Centro-Oeste,303,106,38,109,397,0.349835
2024,12,Dezembro,MA,Nordeste,110,51,31,34,133,0.463636
2024,12,Dezembro,MG,Sudeste,925,253,101,261,1357,0.273514
2024,12,Dezembro,MS,Centro-Oeste,169,52,19,53,198,0.307692
2024,12,Dezembro,MT,Centro-Oeste,216,66,22,71,265,0.305556
2024,12,Dezembro,PA,Norte,65,31,13,27,81,0.476923
2024,12,Dezembro,PB,Nordeste,181,67,6,76,231,0.370166
2024,12,Dezembro,PE,Nordeste,296,105,35,91,377,0.35473
2024,12,Dezembro,PI,Nordeste,130,55,16,52,159,0.423077
2024,12,Dezembro,PR,Sul,681,172,52,184,836,0.25257
2024,12,Dezembro,RJ,Sudeste,591,103,43,87,688,0.174281
2024,12,Dezembro,RN,Nordeste,152,49,22,36,190,0.322368
2024,12,Dezembro,RO,Norte,128,37,17,36,179,0.289062
2024,12,Dezembro,RR,Norte,9,3,1,3,11,0.333333
2024,12,Dezembro,RS,Sul,454,98,25,101,520,0.215859
2024,12,Dezembro,SC,Sul,732,175,45,180,879,0.239071
2024,12,Dezembro,SE,Nordeste,44,17,4,14,60,0.386364
2024,12,Dezembro,SP,Sudeste,408,62,13,56,451,0.151961
2024,12,Dezembro,TO,Norte,51,20,27,19,89,0.392157
