data,ano,mes_numero,dia_semana,dia_semana_numero,fim_semana,uf,regiao,total_acidentes,total_graves_fatais,total_mortos,total_feridos_graves,total_vitimas,taxa_gravidade
2022-01-16,2022,1,domingo,0,True,AL,Nordeste,5,3,2,2,6,0.6
2022-01-16,2022,1,domingo,0,True,BA,Nordeste,10,4,2,2,12,0.4
2022-01-16,2022,1,domingo,0,True,CE,Nordeste,1,1,1,0,2,1.0
2022-01-16,2022,1,domingo,0,True,DF,Centro-Oeste,1,0,0,0,1,0.0
2022-01-16,2022,1,domingo,0,True,ES,Sudeste,5,1,0,1,6,0.2
2022-01-16,2022,1,domingo,0,True,GO,Centro-Oeste,8,2,1,3,12,0.25
2022-01-16,2022,1,domingo,0,True,MA,Nordeste,4,1,1,1,5,0.25
2022-01-16,2022,1,domingo,0,True,MG,Sudeste,30,15,3,16,46,0.5
2022-01-16,2022,1,domingo,0,True,MS,Centro-Oeste,5,1,1,0,6,0.2
2022-01-16,2022,1,domingo,0,True,MT,Centro-Oeste,9,2,2,0,16,0.222222
2022-01-16,2022,1,domingo,0,True,PA,Norte,2,1,0,2,3,0.5
2022-01-16,2022,1,domingo,0,True,PB,Nordeste,4,1,1,0,4,0.25
2022-01-16,2022,1,domingo,0,True,PE,Nordeste,13,7,6,3,21,0.538462
2022-01-16,2022,1,domingo,0,True,PI,Nordeste,7,3,0,3,7,0.428571
2022-01-16,2022,1,domingo,0,True,PR,Sul,21,4,0,4,17,0.190476
2022-01-16,2022,1,domingo,0,True,RJ,Sudeste,14,0,0,0,14,0.0
2022-01-16,2022,1,domingo,0,True,RN,Nordeste,4,1,0,1,5,0.25
2022-01-16,2022,1,domingo,0,True,RO,Norte,2,0,0,0,2,0.0
2022-01-16,2022,1,domingo,0,True,RR,Norte,1,0,0,0,1,0.0
2022-01-16,2022,1,domingo,0,True,RS,Sul,18,4,0,6,29,0.222222
2022-01-16,2022,1,domingo,0,True,SC,Sul,18,3,0,5,24,0.166667
2022-01-16,2022,1,domingo,0,True,SE,Nordeste,1,1,0,1,1,1.0
2022-01-16,2022,1,domingo,0,True,SP,Sudeste,19,1,1,0,26,0.052632
2022-01-16,2022,1,domingo,0,True,TO,Norte,2,0,0,0,2,0.0
2022-01-17,2022,1,segunda-feira,1,False,AC,Norte,1,1,0,1,2,1.0
2022-01-17,2022,1,segunda-feira,1,False,AL,Nordeste,1,0,0,0,0,0.0
2022-01-17,2022,1,segunda-feira,1,False,AM,Norte,1,0,0,0,2,0.0
2022-01-17,2022,1,segunda-feira,1,False,BA,Nordeste,7,3,0,3,6,0.428571
2022-01-17,2022,1,segunda-feira,1,False,CE,Nordeste,4,1,0,1,9,0.25
2022-01-17,2022,1,segunda-feira,1,False,DF,Centro-Oeste,1,1,0,1,1,1.0
2022-01-17,2022,1,segunda-feira,1,False,ES,Sudeste,5,3,0,4,6,0.6
2022-01-17,2022,1,segunda-feira,1,False,GO,Centro-Oeste,7,2,0,3,8,0.285714
2022-01-17,2022,1,segunda-feira,1,False,MA,Nordeste,2,1,0,1,3,0.5
2022-01-17,2022,1,segunda-feira,1,False,MG,Sudeste,25,5,0,6,28,0.2
2022-01-17,2022,1,segunda-feira,1,False,MS,Centro-Oeste,3,2,0,3,3,0.666667
2022-01-17,2022,1,segunda-feira,1,False,MT,Centro-Oeste,8,2,2,0,16,0.25
2022-01-17,2022,1,segunda-feira,1,False,PA,Norte,4,0,0,0,2,0.0
2022-01-17,2022,1,segunda-feira,1,False,PB,Nordeste,4,2,0,2,4,0.5
2022-01-17,2022,1,segunda-feira,1,False,PE,Nordeste,10,2,0,2,14,0.2
2022-01-17,2022,1,segunda-feira,1,False,PI,Nordeste,3,1,1,0,4,0.333333
2022-01-17,2022,1,segunda-feira,1,False,PR,Sul,21,4,1,3,12,0.190476
2022-01-17,2022,1,segunda-feira,1,False,RJ,Sudeste,8,1,0,1,8,0.125
2022-01-17,2022,1,segunda-feira,1,False,RN,Nordeste,2,1,0,1,3,0.5
2022-01-17,2022,1,segunda-feira,1,False,RO,Norte,3,2,0,3,4,0.666667
2022-01-17,2022,1,segunda-feira,1,False,RS,Sul,16,4,5,1,19,0.25
2022-01-17,2022,1,segunda-feira,1,False,SC,Sul,22,4,1,4,27,0.181818
2022-01-17,2022,1,segunda-feira,1,False,SP,Sudeste,15,2,0,2,20,0.133333
2022-01-17,2022,1,segunda-feira,1,False,TO,Norte,1,0,0,0,1,0.0
2022-01-18,2022,1,terça-feira,2,False,AL,Nordeste,2,0,0,0,0,0.0
2022-01-18,2022,1,terça-feira,2,False,BA,Nordeste,5,1,0,2,4,0.2
2022-01-18,2022,1,terça-feira,2,False,CE,Nordeste,3,1,0,1,3,0.333333
2022-01-18,2022,1,terça-feira,2,False,DF,Centro-Oeste,1,0,0,0,0,0.0
2022-01-18,2022,1,terça-feira,2,False,ES,Sudeste,9,2,0,2,9,0.222222
2022-01-18,2022,1,terça-feira,2,False,GO,Centro-Oeste,11,4,2,5,20,0.363636
2022-01-18,2022,1,terça-feira,2,False,MA,Nordeste,1,0,0,0,1,0.0
2022-01-18,2022,1,terça-feira,2,False,MG,Sudeste,23,11,3,13,31,0.478261
2022-01-18,2022,1,terça-feira,2,False,MS,Centro-Oeste,4,1,0,1,2,0.25
2022-01-18,2022,1,terça-feira,2,False,MT,Centro-Oeste,1,0,0,0,1,0.0
2022-01-18,2022,1,terça-feira,2,False,PB,Nordeste,5,1,1,0,3,0.2
2022-01-18,2022,1,terça-feira,2,False,PE,Nordeste,7,4,2,3,10,0.571429
2022-01-18,2022,1,terça-feira,2,False,PI,Nordeste,1,0,0,0,1,0.0
2022-01-18,2022,1,terça-feira,2,False,PR,Sul,14,5,0,6,13,0.357143
